"abd","C.ach","C.akw","C.ata","C.kma","C.oro","C.pad","C.paj","C.pal","age","fthr.ed","mthr.ed","orphan96","fthr.frm","hh.size96","educ"
0,0,0,1,0,0,0,0,0,25,10,4,0,1,8,6
1,0,0,1,0,0,0,0,0,25,10,0,0,1,8,3
1,0,0,1,0,0,0,0,0,29,7,4,0,1,5,4
0,0,0,1,0,0,0,0,0,19,10,7,0,1,7,7
1,0,0,1,0,0,0,0,0,23,4,4,1,1,7,6
0,0,0,0,1,0,0,0,0,25,0,4,0,1,9,7
1,0,1,0,0,0,0,0,0,14,7,0,0,1,3,4
1,0,1,0,0,0,0,0,0,29,12,10,0,1,16,11
0,0,1,0,0,0,0,0,0,24,7,4,0,0,17,13
1,0,0,0,0,0,1,0,0,27,12,7,0,1,5,7
0,0,0,0,0,0,1,0,0,23,0,0,0,1,5,7
1,0,0,0,0,0,1,0,0,25,4,0,0,1,2,0
0,0,0,0,0,0,1,0,0,17,0,0,0,1,4,7
0,0,0,0,0,0,1,0,0,15,4,4,0,1,6,6
0,0,0,1,0,0,0,0,0,18,12,7,0,1,5,9
1,0,0,1,0,0,0,0,0,26,10,7,0,1,14,6
0,0,0,1,0,0,0,0,0,16,7,15,0,1,6,5
0,0,0,1,0,0,0,0,0,16,10,0,0,1,8,7
1,0,0,0,0,0,0,0,1,24,7,4,0,1,7,5
1,0,0,0,0,0,0,0,1,30,7,4,0,1,8,5
0,0,0,0,0,0,1,0,0,16,7,7,0,1,5,3
0,0,0,0,0,0,1,0,0,25,4,4,0,1,4,7
0,0,0,0,0,0,1,0,0,20,4,0,0,1,4,5
1,0,0,0,0,0,1,0,0,22,7,4,0,1,10,3
1,0,0,0,0,0,1,0,0,20,7,4,0,1,10,7
0,0,0,0,0,0,1,0,0,18,7,0,0,1,15,5
1,0,0,0,0,0,0,1,0,18,4,0,0,1,7,5
1,0,0,0,0,0,0,1,0,16,4,0,0,1,7,5
0,0,0,0,0,0,0,0,1,25,4,4,0,1,2,7
0,0,0,0,0,0,0,0,1,20,10,0,0,1,14,9
1,0,0,0,0,0,0,0,1,29,4,0,1,1,7,4
0,0,0,0,0,0,0,0,1,25,4,4,0,1,8,6
1,0,0,0,0,0,0,0,1,17,4,0,0,1,8,6
0,0,0,0,0,0,0,0,1,20,10,0,0,1,8,7
0,0,0,0,0,0,0,0,1,16,7,7,0,1,7,6
0,0,0,0,0,0,0,0,1,17,10,0,0,1,14,10
0,0,0,0,0,0,0,0,1,29,0,0,0,1,14,11
0,0,0,0,0,0,0,0,1,14,12,12,1,0,9,7
1,0,0,0,0,0,0,0,1,27,10,0,0,1,6,10
1,0,0,0,0,0,0,0,1,21,4,0,0,1,6,4
0,0,0,0,0,0,0,0,1,22,4,0,0,1,13,11
0,0,0,0,0,0,0,0,1,26,10,0,0,1,13,3
1,0,0,0,0,0,0,0,1,25,4,0,0,1,7,7
0,0,0,0,0,0,0,0,1,15,4,4,0,1,5,7
0,0,0,0,0,0,0,0,1,14,4,4,0,1,10,5
1,0,0,0,0,0,0,0,1,27,10,0,0,1,6,13
1,0,0,0,0,0,0,0,1,27,4,0,0,1,2,6
0,0,0,1,0,0,0,0,0,14,4,4,0,1,8,6
0,0,0,1,0,0,0,0,0,25,4,0,0,1,4,7
1,0,0,1,0,0,0,0,0,14,7,7,0,1,7,5
1,0,0,0,0,0,0,1,0,15,7,10,1,1,5,7
1,0,0,0,0,0,0,1,0,16,4,4,0,1,10,7
1,0,0,0,0,0,0,1,0,24,4,0,0,1,7,9
1,0,0,0,0,0,0,1,0,15,4,4,0,1,6,4
1,0,0,0,0,0,0,1,0,19,4,0,0,1,10,10
1,0,0,0,0,0,0,1,0,24,4,0,0,1,7,12
1,0,0,0,0,0,0,1,0,22,10,10,0,1,3,7
0,0,0,0,0,0,0,1,0,15,4,4,0,1,10,6
1,0,0,0,0,0,0,1,0,14,7,4,0,1,5,5
1,0,0,0,0,0,0,1,0,18,4,4,0,1,7,10
1,0,0,0,0,0,0,1,0,15,15,0,0,1,5,8
0,0,0,0,0,0,0,1,0,14,7,0,0,1,6,5
1,0,0,0,0,0,0,1,0,15,10,7,0,1,5,7
0,0,0,0,0,0,0,1,0,18,4,0,0,1,8,10
0,0,0,0,0,0,0,1,0,14,4,4,0,1,5,4
1,0,0,0,0,0,0,1,0,18,7,7,0,1,6,9
0,0,0,0,0,0,0,1,0,14,0,0,0,1,5,7
1,0,1,0,0,0,0,0,0,17,0,0,0,1,18,10
0,0,1,0,0,0,0,0,0,14,4,4,1,1,18,5
0,0,1,0,0,0,0,0,0,20,7,0,0,1,5,6
1,0,0,1,0,0,0,0,0,28,7,0,0,1,7,6
0,0,0,1,0,0,0,0,0,14,0,7,0,0,7,4
1,0,0,1,0,0,0,0,0,18,0,7,0,0,7,10
0,0,0,1,0,0,0,0,0,14,7,0,0,1,5,6
0,0,0,1,0,0,0,0,0,15,4,0,0,1,3,5
1,0,0,1,0,0,0,0,0,18,0,0,0,1,5,7
0,0,0,1,0,0,0,0,0,15,7,0,0,1,5,5
1,0,0,1,0,0,0,0,0,19,4,4,0,1,7,10
1,0,0,1,0,0,0,0,0,30,4,0,0,1,5,6
0,0,0,1,0,0,0,0,0,14,0,0,0,1,7,4
0,0,0,1,0,0,0,0,0,25,0,0,0,1,7,0
1,0,0,1,0,0,0,0,0,14,0,0,0,1,12,6
1,0,0,1,0,0,0,0,0,28,7,4,0,1,12,5
0,0,0,1,0,0,0,0,0,17,4,0,0,1,12,7
0,0,0,1,0,0,0,0,0,15,12,4,0,1,12,6
1,0,0,1,0,0,0,0,0,23,4,0,0,1,4,3
0,0,0,1,0,0,0,0,0,16,4,4,0,1,12,7
1,0,0,1,0,0,0,0,0,25,7,0,0,1,6,11
0,0,0,1,0,0,0,0,0,15,4,0,1,1,7,4
1,0,0,1,0,0,0,0,0,30,12,0,0,1,6,7
1,0,0,1,0,0,0,0,0,26,7,10,0,1,3,4
1,0,0,1,0,0,0,0,0,17,0,0,0,1,6,9
1,0,0,1,0,0,0,0,0,20,4,0,0,1,5,4
1,0,0,1,0,0,0,0,0,18,4,0,0,1,5,7
1,0,0,1,0,0,0,0,0,15,10,0,0,1,8,6
